OBJECTID,LABEL,LABEL_NEW,LABEL_FNL,COMP_A,RELATIONAB,COMP_B,RELATIONBC,COMP_C,RELATIONCD,COMP_D,PROCESS,COMMENTS,PARTCOV_A,BEDROCK_A,TEXTURE1_A,TEXTURE2_A,TEXTURE3_A,MATERIAL_A,QUALIFIERA,SUBTYPE_A,AGE_A,EXPRSN1_A,EXPRSN2_A,EXPRSN3_A,PARTCOV_B,BEDROCK_B,TEXTURE1_B,TEXTURE2_B,TEXTURE3_B,MATERIAL_B,QUALIFIERB,SUBTYPE_B,AGE_B,EXPRSN1_B,EXPRSN2_B,EXPRSN3_B,PARTCOV_C,BEDROCK_C,TEXTURE1_C,TEXTURE2_C,TEXTURE3_C,MATERIAL_C,QUALIFIERC,SUBTYPE_C,AGE_C,EXPRSN1_C,EXPRSN2_C,EXPRSN3_C,PARTCOV_D,BEDROCK_D,TEXTURE1_D,TEXTURE2_D,TEXTURE3_D,MATERIAL_D,QUALIFIERD,SUBTYPE_D,AGE_D,EXPRSN1_D,EXPRSN2_D,EXPRSN3_D,PROCESS_A,PRO_QUAL_A,PROCLASS1A,PROCLASS2A,PROCESS_B,PRO_QUAL_B,PROCLASS1B,PROCLASS2B,PROCESS_C,PRO_QUAL_C,PROCLASS1C,PROCLASS2C,CHECK_FIX,RANDOM_NO,ORIGNL_MAP,LABEL_TST,HAZ_RANK,POLY_NUM,SHAPE_Length,SHAPE_Area
1,C\R-RT,C\R,dszC\R,dszC,\,R,,,,,,U,,,d,s,z,C,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Mougeot, 1997,  Whitehorse, City of Whitehorse unpublished",,,,5492.453402897651358,355633.768317313631997
2,\Mv\R-R,Mv\R,dzsMvM\R,dzsMvM,\,R,,,,,,DV,,,d,z,s,M,,,M,v,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,apply discontinuous cover to COMPA,,"Mougeot, 1997,  Whitehorse, City of Whitehorse unpublished",,,,26914.192311538688955,14429333.591438878327608
3,sgFG\R-T,sgFG\R,sgFGM\R,sgFGM,\,R,,,,,,U,,,s,g,,F,G,,M,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Mougeot, 1997,  Whitehorse, City of Whitehorse unpublished",,,,8567.279118375037797,1378615.401837885379791
4,F,F,gszF,gszF,,,,,,,,C,,,g,s,z,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Mougeot, 1997,  Whitehorse, City of Whitehorse unpublished",,,,3955.236184727096770,112994.018961354609928
5,A,A,A,A,,,,,,,,-,,,,,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Mougeot, 1997,  Whitehorse, City of Whitehorse unpublished",,,,14504.472336464661566,710072.692819422460161
6,sgFG,sgFG,sgFGM,sgFGM,,,,,,,,C,,,s,g,,F,G,,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Mougeot, 1997,  Whitehorse, City of Whitehorse unpublished",,,,1077.029439238005125,58489.876268228108529
7,\sFGv\M,sFGv\M,sFGvM\dzsMM,sFGvM,\,dzsMM,,,,,,DV,,,s,,,F,G,,M,v,,,,,d,z,s,M,,,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,apply discontinuous cover to COMPA,,"Mougeot, 1997,  Whitehorse, City of Whitehorse unpublished",,,,35784.268020623036136,8319394.917392737232149
8,M,M,dzsMM,dzsMM,,,,,,,,C,,,d,z,s,M,,,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Mougeot, 1997,  Whitehorse, City of Whitehorse unpublished",,,,2663.446417471631776,102301.493085613154108
9,sFG\M,sFG\M,sFGM\dzsMM,sFGM,\,dzsMM,,,,,,U,,,s,,,F,G,,M,,,,,,d,z,s,M,,,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Mougeot, 1997,  Whitehorse, City of Whitehorse unpublished",,,,3465.052120278081929,294596.454408219840843
10,O-WK,O-WK,euhOv-UXt,euhOv,,,,,,,UXt,C,,,e,u,h,O,,,,v,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,U,,,,X,,t,,,,,,,1,"Mougeot, 1997,  Whitehorse, City of Whitehorse unpublished",,,,1240.768953825653170,81849.050743252853863
11,O-WK,O-WK,euhOv-UXt,euhOv,,,,,,,UXt,C,,,e,u,h,O,,,,v,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,U,,,,X,,t,,,,,,,1,"Mougeot, 1997,  Whitehorse, City of Whitehorse unpublished",,,,5075.836375853601567,555171.631367880036123
12,C\M-T,C\M,dszC\dzsMM,dszC,\,dzsMM,,,,,,U,,,d,s,z,C,,,,,,,,,d,z,s,M,,,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Mougeot, 1997,  Whitehorse, City of Whitehorse unpublished",,,,4590.954317506887492,762493.622835136600770
13,C\M.FG-TEA,C\M.FG-L,dszC\dzsMM.sgFGM-L,dszC,\,dzsMM,.,sgFGM,,,L,U,,,d,s,z,C,,,,,,,,,d,z,s,M,,,M,,,,,,s,g,,F,G,,M,,,,,,,,,,,,,,,,L,,,,,,,,,,,,,,"Mougeot, 1997,  Whitehorse, City of Whitehorse unpublished",,,,1224.965467802768671,38093.828349617535423
14,O.F-FB,O.F-FB,euhOv.gszF-Ub,euhOv,.,gszF,,,,,Ub,C,,,e,u,h,O,,,,v,,,,,g,s,z,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,U,,b,,,,,,,,,,,,"Mougeot, 1997,  Whitehorse, City of Whitehorse unpublished",,,,2561.286563083735018,90120.922005004642415
15,C-T,C,dszC,dszC,,,,,,,,C,,,d,s,z,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Mougeot, 1997,  Whitehorse, City of Whitehorse unpublished",,,,1711.668798868540989,84900.019870562900905
16,\sgFG\M,sgFG\M,sgFGM\dzsMM,sgFGM,\,dzsMM,,,,,,D,,,s,g,,F,G,,M,,,,,,d,z,s,M,,,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,apply discontinuous cover to COMPA,,"Mougeot, 1997,  Whitehorse, City of Whitehorse unpublished",,,,34764.244571258786891,7448816.156582007184625
17,M,M,dzsMM,dzsMM,,,,,,,,C,,,d,z,s,M,,,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Mougeot, 1997,  Whitehorse, City of Whitehorse unpublished",,,,20724.950815246702405,6934349.079657997004688
18,sgFG\M-R,sgFG\M\R,sgFGM\dzsMM\R,sgFGM,\,dzsMM,\,R,,,,U,,,s,g,,F,G,,M,,,,,,d,z,s,M,,,M,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Mougeot, 1997,  Whitehorse, City of Whitehorse unpublished",,,,6744.137127730580687,722219.269347915658727
19,M\R-R,M\R,dzsMM\R,dzsMM,\,R,,,,,,U,,,d,z,s,M,,,M,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Mougeot, 1997,  Whitehorse, City of Whitehorse unpublished",,,,1366.604883902455185,67814.335979939380195
20,M,M,dzsMM,dzsMM,,,,,,,,C,,,d,z,s,M,,,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Mougeot, 1997,  Whitehorse, City of Whitehorse unpublished",,,,5430.150536363120409,517796.144443053577561
21,O-WK,O-WK,euhOv-UXt,euhOv,,,,,,,UXt,C,,,e,u,h,O,,,,v,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,U,,,,X,,t,,,,,,,1,"Mougeot, 1997,  Whitehorse, City of Whitehorse unpublished",,,,1424.886241069083098,64995.356104999242234
22,M.C-T,M.C,dzsMM.dszC,dzsMM,.,dszC,,,,,,C,,,d,z,s,M,,,M,,,,,,d,s,z,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Mougeot, 1997,  Whitehorse, City of Whitehorse unpublished",,,,1874.300274773642286,86317.992496091494104
23,M,M,dzsMM,dzsMM,,,,,,,,C,,,d,z,s,M,,,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,"Mougeot, 1997,  Whitehorse, City of Whitehorse unpublished",,,,9904.269569013931687,1634034.917651578783989
24,\M\R-RT,M\R,dzsMM\R,dzsMM,\,R,,,,,,D,,,d,z,s,M,,,M,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,apply discontinuous cover to COMPA,,"Mougeot, 1997,  Whitehorse, City of Whitehorse unpublished",,,,9328.824950489004550,2862948.063197513576597
25,O-WZ,O-WZ,euhOv-UX,euhOv,,,,,,,UX,C,,,e,u,h,O,,,,v,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,U,,,,X,,,,,,,,,,"Mougeot, 1997,  Whitehorse, City of Whitehorse unpublished",,,,578.761211375403718,14846.588719954525004
26,sgFG-T,sgFG,sgFGM,sgFGM,,,,,,,,C,,,s,g,,F,G,,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Mougeot, 1997,  Whitehorse, City of Whitehorse unpublished",,,,460.685352720976027,9837.958721010816589
27,F-W,F-W,gszF-U,gszF,,,,,,,U,C,,,g,s,z,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,U,,,,,,,,,,,,,,"Mougeot, 1997,  Whitehorse, City of Whitehorse unpublished",,,,1476.579673589236108,45722.841019473904453
28,GL-TEA,GL-L,szcLGM-L,szcLGM,,,,,,,L,C,,,s,z,c,L,G,,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L,,,,,,,,,,,,,,"Mougeot, 1997,  Whitehorse, City of Whitehorse unpublished",,,,880.904423084669475,36508.750275480168057
29,gF-FW,gF-F,gF-U,gF,,,,,,,U,U,,,g,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,U,,,,,,,,,,,,,,"Mougeot, 1997,  Whitehorse, City of Whitehorse unpublished",,,,876.607037361041193,37656.181212468822196
30,sFG\GL-T,sFG\GL,sFGM\szcLGM,sFGM,\,szcLGM,,,,,,U,,,s,,,F,G,,M,,,,,,s,z,c,L,G,,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Mougeot, 1997,  Whitehorse, City of Whitehorse unpublished",,,,4890.713119320170335,206582.064270447182935
31,fgF-FW,fgF-F,msgF-U,msgF,,,,,,,U,U,,,m,s,g,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,U,,,,,,,,,,,,,,"Mougeot, 1997,  Whitehorse, City of Whitehorse unpublished",,,,1001.171387569686317,44302.504533043764241
32,sgF\FG,sgF\FG,sgF\sgFGM,sgF,\,sgFGM,,,,,,U,,,s,g,,F,,,,,,,,,s,g,,F,G,,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Mougeot, 1997,  Whitehorse, City of Whitehorse unpublished",,,,3352.760999353934039,595982.616044072899967
33,gF-FW,gF-F,gF-U,gF,,,,,,,U,U,,,g,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,U,,,,,,,,,,,,,,"Mougeot, 1997,  Whitehorse, City of Whitehorse unpublished",,,,1462.314933387041037,104111.420229631752591
