OBJECTID,LABEL,LABEL_NEW,LABEL_FNL,COMP_A,RELATIONAB,COMP_B,RELATIONBC,COMP_C,RELATIONCD,COMP_D,PROCESS,COMMENTS,PARTCOV_A,BEDROCK_A,TEXTURE1_A,TEXTURE2_A,TEXTURE3_A,MATERIAL_A,QUALIFIERA,SUBTYPE_A,AGE_A,EXPRSN1_A,EXPRSN2_A,EXPRSN3_A,PARTCOV_B,BEDROCK_B,TEXTURE1_B,TEXTURE2_B,TEXTURE3_B,MATERIAL_B,QUALIFIERB,SUBTYPE_B,AGE_B,EXPRSN1_B,EXPRSN2_B,EXPRSN3_B,PARTCOV_C,BEDROCK_C,TEXTURE1_C,TEXTURE2_C,TEXTURE3_C,MATERIAL_C,QUALIFIERC,SUBTYPE_C,AGE_C,EXPRSN1_C,EXPRSN2_C,EXPRSN3_C,PARTCOV_D,BEDROCK_D,TEXTURE1_D,TEXTURE2_D,TEXTURE3_D,MATERIAL_D,QUALIFIERD,SUBTYPE_D,AGE_D,EXPRSN1_D,EXPRSN2_D,EXPRSN3_D,PROCESS_A,PRO_QUAL_A,PROCLASS1A,PROCLASS2A,PROCESS_B,PRO_QUAL_B,PROCLASS1B,PROCLASS2B,PROCESS_C,PRO_QUAL_C,PROCLASS1C,PROCLASS2C,CHECK_FIX,RANDOM_NO,ORIGNL_MAP,LABEL_TST,SHAPE_Length,SHAPE_Area
1,R,R,R/rCv,R,/,rCv,,,,,,,,,,,,R,,,,,,,,,r,,,C,,,,v,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Morison  & Klassen, 1991, Whitehorse, GSC Map 12-1990",,4330.835359782705382,471514.061455640301574
2,R/Mv,R/Mv,R/rCv/zsbMvM,R,/,rCv,/,zsbMvM,,,,,,,,,,R,,,,,,,,,r,,,C,,,,v,,,,,z,s,b,M,,,M,v,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Morison  & Klassen, 1991, Whitehorse, GSC Map 12-1990",,9243.145098644483369,4177407.004914390388876
3,Cb,Cb,dsmCb,dsmCb,,,,,,,,,,,d,s,m,C,,,,b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Morison  & Klassen, 1991, Whitehorse, GSC Map 12-1990",,6326.037113396153472,1501020.770701837027445
4,A+Mx,AMx,gszFpft/dsmCa/zsdMpmrM,gszFpft,/,dsmCa,/,zsdMpmrM,,,,,,,g,s,z,F,,,,p,f,t,,,d,s,m,C,,,,a,,,,,z,s,d,M,,,M,p,m,r,,,,,,,,,,,,,,,,,,,,,,,,,,,"Morison  & Klassen, 1991, Whitehorse, GSC Map 12-1990",,35389.476113727083430,28905234.673605952411890
5,Gh,Gh,zsgFGhdM-TH,zsgFGhdM,,,,,,,TH,,,,z,s,g,F,G,,M,h,d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,T,,,,H,,,,,,,,,,"Morison  & Klassen, 1991, Whitehorse, GSC Map 12-1990",,27571.042332650722528,18252115.249187137931585
6,Lp-k,Lp-Xt,czsLGpM-Xt,czsLGpM,,,,,,,Xt,,,,c,z,s,L,G,,M,p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,t,,,,,,,,,,,,"Morison  & Klassen, 1991, Whitehorse, GSC Map 12-1990",,2791.899442361566344,464994.811457997362595
7,Mv/Cb-s,Mv/Cb-S,zsbMvM/dsmCb-S,zsbMvM,/,dsmCb,,,,,S,,,,z,s,b,M,,,M,v,,,,,d,s,m,C,,,,b,,,,,,,,,,,,,,,,,,,,,,,,,,,S,,,,,,,,,,,,,,"Morison  & Klassen, 1991, Whitehorse, GSC Map 12-1990",,102074.689225041118334,92652363.605543300509453
8,R,R,R/rCv,R,/,rCv,,,,,,,,,,,,R,,,,,,,,,r,,,C,,,,v,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Morison  & Klassen, 1991, Whitehorse, GSC Map 12-1990",,6096.302055833803934,2364526.021819173824042
9,Mv/R,Mv/R,zsbMvM/R/rCv,zsbMvM,/,R,/,rCv,,,,,,,z,s,b,M,,,M,v,,,,,,,,R,,,,,,,,,r,,,C,,,,v,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Morison  & Klassen, 1991, Whitehorse, GSC Map 12-1990",,9150.539821933865824,4570889.074161217547953
10,Ap,Ap,gszFp-U,gszFp,,,,,,,U,,,,g,s,z,F,,,,p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,U,,,,,,,,,,,,,,"Morison  & Klassen, 1991, Whitehorse, GSC Map 12-1990",,33299.659018585443846,15839579.014690933749080
11,Mv,Mv,zsbMvM,zsbMvM,,,,,,,,,,,z,s,b,M,,,M,v,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Morison  & Klassen, 1991, Whitehorse, GSC Map 12-1990",,4089.295657060970370,776485.867451823549345
12,Gx,Gx,gszFGhprM-T,gszFGhprM,,,,,,,T,,,,g,s,z,F,G,,M,h,p,r,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,T,,,,,,,,,,,,,,"Morison  & Klassen, 1991, Whitehorse, GSC Map 12-1990",,15905.603818255016449,6101400.982892133295536
13,Gx,Gx,gszFGhprM-T,gszFGhprM,,,,,,,T,,,,g,s,z,F,G,,M,h,p,r,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,T,,,,,,,,,,,,,,"Morison  & Klassen, 1991, Whitehorse, GSC Map 12-1990",,3598.735099671219359,681263.394259493332356
14,Mv,Mv,zsbMvM,zsbMvM,,,,,,,,,,,z,s,b,M,,,M,v,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Morison  & Klassen, 1991, Whitehorse, GSC Map 12-1990",,21659.448172526226699,20753280.434731539338827
15,Ap,Ap,gszFp-U,gszFp,,,,,,,U,,,,g,s,z,F,,,,p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,U,,,,,,,,,,,,,,"Morison  & Klassen, 1991, Whitehorse, GSC Map 12-1990",,61308.135521990894631,14383939.289441971108317
16,Mv,Mv,zsbMvM,zsbMvM,,,,,,,,,,,z,s,b,M,,,M,v,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Morison  & Klassen, 1991, Whitehorse, GSC Map 12-1990",,8087.093215964635419,2588777.284667157568038
17,Mb,Mb,zsdMbM,zsdMbM,,,,,,,,,,,z,s,d,M,,,M,b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Morison  & Klassen, 1991, Whitehorse, GSC Map 12-1990",,21502.148884405400167,16820377.088156830519438
18,Lp-k/Ap,Lp/Ap-Xt,czsLGpM/gszFp-XtU,czsLGpM,/,gszFp,,,,,XtU,,,,c,z,s,L,G,,M,p,,,,,g,s,z,F,,,,p,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,t,,U,,,,,,,,,,"Morison  & Klassen, 1991, Whitehorse, GSC Map 12-1990",,29699.865520756495243,17732021.229895658791065
19,Af,Af,gszFf,gszFf,,,,,,,,,,,g,s,z,F,,,,f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Morison  & Klassen, 1991, Whitehorse, GSC Map 12-1990",,2723.680910676360782,334482.437362763157580
